Station_Number,station_id,station_name,latitude,longitude,timestamp,free_bikes,empty_slots,uid,number,slots,bike_uids,fsq_id,distance,location_name,location_address,categorized,closed_bucket
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],50ca5592e4b0cc5bad7c6449,557,The Sunflower,65 Union St,Bar,Unsure
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],520080a3498eb97026f147b8,811,Established Coffee,54 Hill St,Coffee Shop,Unsure
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],4b64a08bf964a52082c32ae3,920,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],5a1fedbcbcbf7a12b589f1f9,952,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],4b06f46df964a5201af422e3,907,Black Box,18-22 Hill St,Concert Hall,Unsure
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],4bd352d741b9ef3b0fe3ffe5,985,Whites Tavern,2-4 Winecellar Entry,Restaurant,Unsure
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],4c1669aea5eb76b040ccc4b7,809,The John Hewitt,51 Donegall St,Restaurant,VeryLikelyOpen
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],52988e8511d22448bd236206,950,The Dirty Onion,3 Hill St,Bar,Unsure
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],50b0e62be4b0441cd92ec4f3,388,Crumlin Road Gaol,53-55 Crumlin Rd,Museum,VeryLikelyOpen
1,00a175b9694ce13c3b9bc9e1244e1612,Carlisle Circus,54.607397,-5.937086,2024-10-19T19:10:00.949278Z,1,20,20754306,3939,20.0,['830580'],4bb897143db7b7135e65219a,988,The Spaniard,3 Skipper St,Bar,LikelyOpen
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",5ae825e4ad910e002c72a002,72,Tim Hortons,65 Fountain St,Coffee Shop,VeryLikelyOpen
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",4fc21ef5e4b099ce175faf24,126,Home Restaurant,22 Wellington Pl,Restaurant,Unsure
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",4bb3c394715eef3b6bce86bb,273,The Garrick Bar,29 Chichester St,Bar,LikelyOpen
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",4b459b93f964a5207d0e26e3,468,Ginger Bistro,7-8 Hope St,Restaurant,Unsure
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",4b071106f964a52093f622e3,471,Muriel's Cafe Bar,12-14 Church Lane,Bar,LikelyOpen
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",5a1fedbcbcbf7a12b589f1f9,539,Bunsen,6-8 Hill St,Restaurant,LikelyOpen
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",4b64a08bf964a52082c32ae3,284,Kelly's Cellars,30-32 Bank St,Restaurant,Unsure
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",4bd352d741b9ef3b0fe3ffe5,351,Whites Tavern,2-4 Winecellar Entry,Restaurant,Unsure
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",4c4647bd342c1b8d3040b689,357,The Crown Liquor Saloon,46 Great Victoria St,Restaurant,Unsure
2,036a91020ad7f40ea0d2bfda0fb14400,City Hall,54.597177,-5.930825,2024-10-19T19:10:00.949430Z,15,6,20754767,3902,20.0,"['830439', '830436', '830325', '830313', '830307', '830280', '830237', '830223', '830174', '830073', '830017', '830472', '830634', '830591', '830550']",5a37b9bd16fa04126cd4ccd7,212,Oh Donuts & Coffee,55 Upper Arthur St,Restaurant,VeryLikelyOpen
3,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,[''],4b65d319f964a5203a022be3,692,The Limelight,17 Ormeau Ave,Bar,LikelyOpen
3,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,[''],4b7554a1f964a520ac062ee3,203,Boojum,73 Botanic Ave,Restaurant,VeryLikelyOpen
3,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,[''],4b459b93f964a5207d0e26e3,593,Ginger Bistro,7-8 Hope St,Restaurant,Unsure
3,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,[''],504b9545e4b0b18004d43314,242,Steamboat Oriental Bbq,15 Donegall Pass,Restaurant,VeryLikelyOpen
3,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,[''],4c39a7270a71c9b6e7d642c9,171,Lee Garden,14-18 Botanic Ave,Restaurant,VeryLikelyOpen
3,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,[''],4bf0422df831c92849cd01f2,626,Ulster Museum,Botanic Gardens,Museum,VeryLikelyOpen
3,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,[''],56f3e2b5498e6346b7f91b31,243,Holohans Pantry,43 University Rd,Restaurant,VeryLikelyOpen
3,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,[''],4b7d734ff964a52022bf2fe3,764,Botanic Gardens,College Park,Bar,VeryLikelyOpen
3,04764ca50c52190e0e6448114ad094d8,Bradbury Place,54.588123,-5.935525,2024-10-19T19:10:00.949142Z,0,14,20754036,3924,16.0,[''],4c191a0c4ff90f475e6b0f49,254,Villa Italia,39-41 University St,Restaurant,VeryLikelyOpen
